Date,Open,High,Low,Close,Volume
2001-10-31,131.25,132.22,126.00,128.00,272175
2001-11-01,129.56,129.56,119.50,122.00,1314086
2001-11-02,122.50,137.00,119.91,136.25,3777680
2001-11-05,136.25,139.00,133.50,138.00,199301
2001-11-06,136.00,136.25,130.75,135.00,2346188
2001-11-07,139.00,139.00,132.00,138.00,265234
2001-11-08,138.00,141.00,132.32,141.00,551837
2001-11-09,133.84,140.49,133.84,138.00,515902
2001-11-12,136.00,137.50,132.00,133.30,371474
2001-11-13,138.75,140.00,137.10,138.10,356364
2001-11-14,140.35,142.00,138.50,139.75,973366
2001-11-15,145.00,159.00,145.00,158.97,3082783
2001-11-16,156.25,163.50,150.00,155.25,816270
2001-11-19,155.00,160.00,155.00,157.00,875906
2001-11-20,157.60,160.00,157.00,157.00,375201
2001-11-21,168.25,168.25,156.00,156.00,109248
2001-11-22,151.68,160.00,151.68,155.00,1332099
2001-11-23,150.00,153.22,150.00,152.15,33859
2001-11-26,159.00,159.00,147.00,147.00,665038
2001-11-27,157.00,157.00,147.00,147.80,247307
2001-11-28,149.75,149.81,147.00,147.00,255526
2001-11-29,147.00,150.25,145.00,147.00,379198
2001-11-30,145.00,146.25,140.84,143.00,234519
2001-12-03,143.00,147.00,142.00,143.00,83381
2001-12-05,147.00,150.78,145.78,147.67,1414444
2001-12-06,150.00,159.00,150.00,153.17,792706
2001-12-07,158.50,158.50,154.00,154.00,607434
2001-12-10,154.00,160.00,154.00,155.70,280519
2001-12-11,156.25,161.25,155.00,157.00,673058
2001-12-12,156.25,159.22,153.00,154.00,318822
2001-12-13,158.00,161.25,146.00,150.52,2063345
2001-12-14,152.00,155.00,147.00,152.00,1347033
2001-12-17,158.02,159.00,155.00,157.00,718111
2001-12-18,164.00,164.00,157.00,157.00,1738788
2001-12-19,156.00,159.00,154.00,156.50,402262
2001-12-20,154.00,157.50,154.00,154.00,130606
2001-12-21,157.50,157.50,147.60,153.23,404598
2001-12-24,154.12,156.22,154.00,156.22,22622
2001-12-27,156.22,156.22,154.00,155.00,26384
2001-12-28,158.00,158.00,153.00,155.00,454437
2001-12-31,156.00,159.00,155.25,156.25,17816
2002-01-02,157.00,163.00,155.00,155.00,66382
2002-01-03,155.00,158.00,154.25,155.38,2255129
2002-01-04,157.00,158.35,154.00,154.25,441035
2002-01-07,155.78,157.25,154.00,154.97,134256
2002-01-08,155.00,160.00,154.00,154.50,251753
2002-01-09,155.50,158.50,153.00,153.00,659218
2002-01-10,152.74,153.00,152.00,152.00,397140
2002-01-11,153.00,156.00,153.00,155.00,60005
2002-01-14,157.00,157.38,150.00,151.50,589647
2002-01-15,152.00,153.50,150.00,153.00,286241
2002-01-16,158.00,158.00,149.00,150.25,350151
2002-01-17,152.00,153.00,150.00,150.70,253638
2002-01-18,150.00,150.00,147.00,148.00,323468
2002-01-21,152.00,154.00,140.50,142.00,414278
2002-01-22,146.00,152.44,142.88,149.00,1942389
2002-01-23,152.98,154.00,147.00,147.50,842036
2002-01-24,149.00,149.00,146.00,148.00,317596
2002-01-25,148.02,149.63,147.00,147.00,81532
2002-01-28,145.62,148.43,145.50,145.50,211360
2002-01-29,149.02,156.85,147.00,153.00,3816094
2002-01-30,149.62,153.00,149.00,149.00,598245
2002-01-31,157.48,157.48,150.00,150.25,2932122
2002-02-01,153.75,153.75,150.25,152.00,163433
2002-02-04,155.00,155.00,149.00,149.00,1685679
2002-02-05,147.62,150.00,147.62,149.00,621372
2002-02-06,150.00,150.00,147.50,148.00,49363
2002-02-07,152.98,152.98,147.00,149.62,1887629
2002-02-08,152.98,152.98,145.00,149.75,156341
2002-02-11,148.98,149.81,147.00,148.63,273558
2002-02-12,146.25,149.09,141.00,144.50,2049037
2002-02-13,143.00,149.75,140.00,141.00,763174
2002-02-14,133.75,141.56,133.75,138.25,904278
2002-02-15,138.72,144.00,136.22,140.00,1522715
2002-02-18,138.53,145.00,138.53,143.00,13730
2002-02-19,147.47,150.50,140.00,150.50,306527
2002-02-20,146.78,148.32,142.00,145.50,112355
2002-02-21,144.94,146.50,140.00,140.25,154730
2002-02-22,143.75,143.75,139.50,140.00,548151
2002-02-25,140.00,149.13,140.00,143.25,1076069
2002-02-26,148.02,149.50,142.00,148.00,890340
2002-02-27,153.00,153.00,146.00,147.12,501277
2002-02-28,149.00,153.00,147.25,149.00,353935
2002-03-01,148.25,156.00,148.25,155.48,2628636
2002-03-04,158.63,160.00,153.00,158.00,561348
2002-03-05,157.50,162.00,156.68,157.49,805386
2002-03-06,164.00,165.53,149.00,163.09,2429064
2002-03-07,161.00,163.51,156.75,158.88,515321
2002-03-08,155.00,159.25,155.00,158.00,426967
2002-03-11,158.50,159.75,154.00,158.60,103545
2002-03-12,155.00,158.55,154.25,156.36,636920
2002-03-13,157.75,158.18,154.00,157.00,209698
2002-03-14,155.00,159.90,155.00,158.10,143802
2002-03-15,160.50,165.00,156.00,157.23,304409
2002-03-18,156.00,165.75,156.00,162.00,73882
2002-03-19,156.00,165.50,156.00,158.50,214631
2002-03-20,155.00,161.50,155.00,160.50,1395525
2002-03-21,154.00,158.50,153.00,156.50,63012
2002-03-22,157.25,159.55,155.00,158.10,264766
2002-03-25,158.32,158.84,154.50,157.15,558595
2002-03-26,157.50,159.80,154.00,158.64,457823
2002-03-27,163.32,164.00,156.84,157.00,894175
2002-03-28,156.53,162.95,156.53,158.89,177704
2002-04-02,155.25,164.02,155.00,158.62,187828
2002-04-03,160.00,162.00,155.50,159.00,1312794
2002-04-04,162.00,163.13,153.00,158.00,240239
2002-04-05,157.00,168.59,156.25,164.99,447607
2002-04-08,151.00,164.00,151.00,161.00,191980
2002-04-09,163.75,163.75,160.75,161.75,312547
2002-04-10,164.00,165.00,155.00,163.50,761576
2002-04-11,164.00,166.22,161.50,164.25,991824
2002-04-12,160.00,164.83,159.00,161.80,359498
2002-04-15,160.00,167.00,160.00,166.50,311811
2002-04-16,167.12,168.28,166.00,167.00,948395
2002-04-17,175.00,175.00,167.00,167.69,650541
2002-04-18,168.00,169.00,162.00,166.00,1353253
2002-04-19,163.00,169.00,163.00,167.50,401727
2002-04-22,175.00,175.00,165.00,166.50,53622
2002-04-23,165.00,168.25,164.00,166.92,1713930
2002-04-24,170.00,184.50,167.50,182.00,3482171
2002-04-25,183.00,184.00,170.00,180.00,3000200
2002-04-26,177.00,183.75,177.00,180.00,373341
2002-04-29,173.00,182.00,173.00,176.00,148486
2002-04-30,176.35,178.63,175.00,176.50,835877
2002-05-01,174.00,179.00,173.00,173.59,124275
2002-05-02,178.88,180.00,172.00,176.09,405708
2002-05-03,177.19,180.50,171.00,180.00,679366
2002-05-07,169.00,176.00,169.00,172.22,111180
2002-05-08,179.00,179.00,170.25,173.00,346952
2002-05-09,172.39,176.84,172.39,175.00,885188
2002-05-10,175.25,181.00,175.25,177.75,373529
2002-05-13,177.30,182.00,177.00,179.00,444239
2002-05-14,178.30,181.53,178.30,179.50,1781002
2002-05-15,180.32,181.75,178.00,178.00,298697
2002-05-16,178.25,182.00,177.00,179.00,138691
2002-05-17,179.22,180.00,177.00,179.25,88011
2002-05-20,186.00,188.25,175.75,177.00,180874
2002-05-21,177.48,180.00,176.50,177.75,179012
2002-05-22,179.80,179.80,176.00,177.00,61763
2002-05-23,182.00,182.00,176.50,178.00,114217
2002-05-24,179.00,183.13,177.00,183.13,895112
2002-05-27,181.50,185.00,177.25,179.37,68083
2002-05-28,180.50,184.75,176.00,184.75,227318
2002-05-29,177.00,184.50,177.00,180.25,2057734
2002-05-30,179.00,190.00,179.00,185.50,2722600
2002-05-31,185.00,188.75,185.00,187.25,775512
2002-06-05,182.00,197.00,179.00,183.47,391826
2002-06-06,182.00,190.00,180.87,190.00,179224
2002-06-07,181.68,189.75,180.00,182.00,288096
2002-06-10,182.80,182.80,176.75,180.00,692568
2002-06-11,177.80,179.95,177.80,179.00,298814
2002-06-12,183.32,183.32,179.50,180.00,276222
2002-06-13,182.90,183.00,177.00,179.00,2240524
2002-06-14,199.00,199.00,174.00,175.00,1327354
2002-06-17,172.40,180.00,172.40,180.00,594657
2002-06-18,182.00,182.00,176.00,177.37,186071
2002-06-19,175.78,179.78,175.00,178.00,490997
2002-06-20,175.50,178.00,175.00,178.00,150157
2002-06-21,175.97,177.10,173.75,176.00,810588
2002-06-24,176.75,177.67,175.00,176.00,639415
2002-06-25,177.50,177.50,173.00,173.50,1556145
2002-06-26,172.00,175.00,157.00,165.71,592889
2002-06-27,168.25,170.75,154.50,156.00,532232
2002-06-28,163.00,164.75,156.00,160.12,238550
2002-07-01,162.00,170.00,157.50,168.75,458350
2002-07-02,166.28,167.75,157.00,162.00,372672
2002-07-03,160.00,168.00,152.53,159.68,237064
2002-07-04,169.48,169.48,159.50,161.00,115631
2002-07-05,170.00,170.00,160.00,161.75,115915
2002-07-08,167.97,168.81,160.00,160.50,554296
2002-07-09,167.97,167.97,160.00,160.00,313609
2002-07-10,158.75,159.28,155.00,155.24,190755
2002-07-11,157.70,158.19,145.46,148.00,897012
2002-07-12,153.32,154.00,148.57,153.00,177274
2002-07-15,158.00,158.00,137.50,142.58,348879
2002-07-16,153.00,153.00,132.00,132.00,307730
2002-07-17,140.95,149.00,135.00,144.00,193801
2002-07-18,147.00,147.00,141.00,144.00,538179
2002-07-19,146.62,146.62,140.00,143.00,126406
2002-07-22,142.20,147.80,139.00,141.34,342520
2002-07-23,152.61,154.75,139.00,143.63,509369
2002-07-24,140.75,141.50,133.00,137.72,1507919
2002-07-25,141.93,141.93,136.75,138.00,167037
2002-07-26,139.16,141.00,132.00,137.00,554946
2002-07-29,145.00,145.00,139.50,141.00,292594
2002-07-30,142.80,145.00,139.00,141.50,2267081
2002-07-31,148.00,148.00,137.50,142.00,420297
2002-08-01,156.00,156.00,138.00,144.00,132452
2002-08-02,144.00,145.00,140.00,141.43,158308
2002-08-05,143.65,144.00,140.00,144.00,58137
2002-08-06,133.00,139.00,133.00,134.10,193148
2002-08-07,138.00,140.00,130.00,140.00,205924
2002-08-08,140.00,140.00,130.00,140.00,133464
2002-08-09,136.25,140.00,136.00,139.50,96753
2002-08-12,120.00,139.75,120.00,137.00,160750
2002-08-13,136.40,138.70,120.00,129.05,312438
2002-08-14,133.16,140.00,126.00,133.00,564506
2002-08-15,135.00,140.00,131.00,139.50,827964
2002-08-16,132.20,145.00,132.20,137.25,1653674
2002-08-19,120.00,140.00,120.00,140.00,90275
2002-08-20,139.50,140.00,131.62,136.00,195029
2002-08-21,141.00,143.00,136.00,138.50,268019
